Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Game 4 - Score team A,Game 4 - Score team B,Game 5 - Score team A,Game 5 - Score team B,Team A - Player 1,Team A - Player 2,Team A - Player 3,Team A - Player 4,Team B - Player 1,Team B - Player 2,Team B - Player 3,Team B - Player 4
Pool Play,Women's Advanced 4.0+,Group A,2,Single game,Coastin’,Dino Riot 🦖,Coastin’,21,19,,,,,,,,,Joelle Nguyen,Maddy Morehouse,,,Laurence Vallée,Rafaela Bastos,,
Pool Play,Women's Advanced 4.0+,Group B,2,Single game,YU-BAE,One hit wonders,YU-BAE,21,15,,,,,,,,,Dianne Fonseca,sophia yu,,,Holly Yu,Amanda Jamieson,,
Pool Play,Women's Advanced 4.0+,Group B,2,Single game,No Idea,Sorenson/Norris,Sorenson/Norris,8,21,,,,,,,,,nina miller,Kate B,,,Abby Norris,Hanna Sorensen,,
Pool Play,Women's Advanced 4.0+,Group C,2,Single game,besties💂🏼⛑️,Women in Stem,besties💂🏼⛑️,21,16,,,,,,,,,Stef Ding,Tiff Ding,,,Bel Belvedere,lauren viado,,
Pool Play,Women's Advanced 4.0+,Group C,2,Single game,Give me my coffee back,We look like this -> 🥰,Give me my coffee back,21,17,,,,,,,,,Courtney Coppage,Audrey Summers,,,Emma Brune,Reese Gallagher,,
Pool Play,Women's Advanced 4.0+,Group D,2,Single game,Sunnies😎,Marshmallow 🐾 🐧,Marshmallow 🐾 🐧,18,21,,,,,,,,,Jhanaj Quispe,Shonda Couroux,,,Genevieve Tardy,Kim Aspirot,,
Pool Play,Women's Advanced 4.0+,Group D,2,Single game,Carry Set,Vogt/Forand,Carry Set,21,14,,,,,,,,,Malia Wanderer,Abigale Lamontagne,,,Kellie Forand,Mackenzie Vogt,,
Pool Play,Women's Advanced 4.0+,Group A,3,Single game,Pierson/Phan,Coastin’,Coastin’,16,21,,,,,,,,,Katheleen Phan,Katie Pierson,,,Joelle Nguyen,Maddy Morehouse,,
Pool Play,Women's Advanced 4.0+,Group A,3,Single game,Almost a Jazz Band,Dino Riot 🦖,Almost a Jazz Band,23,21,,,,,,,,,Sarah Allen,Shachi Patel,,,Laurence Vallée,Rafaela Bastos,,
Pool Play,Women's Advanced 4.0+,Group B,3,Single game,YU-BAE,No Idea,YU-BAE,21,13,,,,,,,,,Dianne Fonseca,sophia yu,,,nina miller,Kate B,,
Pool Play,Women's Advanced 4.0+,Group B,3,Single game,One hit wonders,Sorenson/Norris,Sorenson/Norris,19,21,,,,,,,,,Holly Yu,Amanda Jamieson,,,Abby Norris,Hanna Sorensen,,
Pool Play,Women's Advanced 4.0+,Group C,3,Single game,besties💂🏼⛑️,Give me my coffee back,besties💂🏼⛑️,21,14,,,,,,,,,Stef Ding,Tiff Ding,,,Courtney Coppage,Audrey Summers,,
Pool Play,Women's Advanced 4.0+,Group C,3,Single game,Women in Stem,We look like this -> 🥰,Women in Stem,21,13,,,,,,,,,Bel Belvedere,lauren viado,,,Emma Brune,Reese Gallagher,,
Pool Play,Women's Advanced 4.0+,Group D,3,Single game,Sunnies😎,Carry Set,Carry Set,20,22,,,,,,,,,Jhanaj Quispe,Shonda Couroux,,,Malia Wanderer,Abigale Lamontagne,,
Pool Play,Women's Advanced 4.0+,Group D,3,Single game,Marshmallow 🐾 🐧,Vogt/Forand,Marshmallow 🐾 🐧,21,8,,,,,,,,,Genevieve Tardy,Kim Aspirot,,,Kellie Forand,Mackenzie Vogt,,
Pool Play,Women's Advanced 4.0+,Group A,4,Single game,Pierson/Phan,Dino Riot 🦖,Dino Riot 🦖,18,21,,,,,,,,,Katheleen Phan,Katie Pierson,,,Laurence Vallée,Rafaela Bastos,,
Pool Play,Women's Advanced 4.0+,Group A,4,Single game,Coastin’,Almost a Jazz Band,Coastin’,21,14,,,,,,,,,Joelle Nguyen,Maddy Morehouse,,,Sarah Allen,Shachi Patel,,
Pool Play,Women's Advanced 4.0+,Group B,4,Single game,YU-BAE,Sorenson/Norris,YU-BAE,21,12,,,,,,,,,Dianne Fonseca,sophia yu,,,Abby Norris,Hanna Sorensen,,
Pool Play,Women's Advanced 4.0+,Group B,4,Single game,No Idea,One hit wonders,One hit wonders,12,21,,,,,,,,,nina miller,Kate B,,,Holly Yu,Amanda Jamieson,,
