Ä,Division,Group/Bracket,Round,Match format,Squad,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Pool Play,Division 1 Open,PP B,1,Single game,Penn State D1 Blue vs Virginia Tech D1,Penn State D1 Blue Coed,Virginia Tech D1 Coed,Penn State D1 Blue Coed,21,17,,,,,Evangelia Hahalis,Zach Young,Drew Keely,Katheleen Phan
Pool Play,Division 1 Women's,PP B,1,Single game,Penn State D1 Blue vs Virginia Tech D1,Penn State D1 Blue Women's,Virginia Tech D1 Women's,Penn State D1 Blue Women's,21,19,,,,,Adrianna Vargas,Alaina Althouse,Ashley Hunt,Elly Kuzma
Pool Play,Division 1 Open,PP B,1,Single game,Penn State D1 Blue vs Cal Poly D1,Penn State D1 Blue Open A,Cal Poly D1 Open A,Cal Poly D1 Open A,15,21,,,,,Jake Hurst,Matthew Mesaros,Eli Wortman,Jake Woolley
Pool Play,Division 1 Open,PP B,1,Single game,Penn State D1 Blue vs Cal Poly D1,Penn State D1 Blue Open B,Cal Poly D1 Open B,Cal Poly D1 Open B,11,21,,,,,JT Mankowich,Michael Moniz,Calvin Chang,Reece Greer
Pool Play,Division 1 Open,PP B,1,Single game,Penn State D1 Blue vs Cal Poly D1,Penn State D1 Blue Open C,Cal Poly D1 Open C,Cal Poly D1 Open C,17,21,,,,,Diego Lopez,Kade Kulpinski,Aiden edwards,Gabriel Rouse
Pool Play,Division 1 Open,PP B,1,Single game,Penn State D1 Blue vs Cal Poly D1,Penn State D1 Blue Coed,Cal Poly D1 Coed,Cal Poly D1 Coed,16,21,,,,,Evangelia Hahalis,Zach Young,Alex Veron,Theo Maiorca
Pool Play,Division 1 Women's,PP B,1,Single game,Penn State D1 Blue vs Cal Poly D1,Penn State D1 Blue Women's,Cal Poly D1 Women's,Penn State D1 Blue Women's,21,14,,,,,Adrianna Vargas,Alaina Althouse,Kaiya endo,Lauren Eckert
Pool Play,Division 1 Open,PP B,1,Single game,Virginia Tech D1 vs Purdue D1,Virginia Tech D1 Open A,Purdue D1 Open A,Virginia Tech D1 Open A,21,7,,,,,Jaxon Gonzalez,Jon Esposo,Henry Cheung,Will
Pool Play,Division 1 Open,PP B,1,Single game,Virginia Tech D1 vs Purdue D1,Virginia Tech D1 Open B,Purdue D1 Open B,Virginia Tech D1 Open B,21,17,,,,,Dylan DiDona,Porter DuHadway,Kishore,Prathik Iyengar
Pool Play,Division 1 Open,PP B,1,Single game,Virginia Tech D1 vs Purdue D1,Virginia Tech D1 Open C,Purdue D1 Open C,Virginia Tech D1 Open C,21,7,,,,,Ben Epps,Owen Stuckman,Thomas Saia,Zach Miles
Pool Play,Division 1 Open,PP B,1,Single game,Virginia Tech D1 vs Purdue D1,Virginia Tech D1 Coed,Purdue D1 Coed,Virginia Tech D1 Coed,21,11,,,,,Drew Keely,Katheleen Phan,Josh Eliott,Megan Cereno
Pool Play,Division 1 Women's,PP B,1,Single game,Virginia Tech D1 vs Purdue D1,Virginia Tech D1 Women's,Purdue D1 Women's,Virginia Tech D1 Women's,21,15,,,,,Ashley Hunt,Elly Kuzma,Anna Grube,Han Burgess
Pool Play,Division 1 Open,PP B,1,Single game,Cal Poly D1 vs Purdue D1,Cal Poly D1 Open A,Purdue D1 Open A,Cal Poly D1 Open A,21,13,,,,,Eli Wortman,Jake Woolley,Henry Cheung,Will
Pool Play,Division 1 Open,PP B,1,Single game,Cal Poly D1 vs Purdue D1,Cal Poly D1 Open B,Purdue D1 Open B,Cal Poly D1 Open B,21,6,,,,,Calvin Chang,Reece Greer,Kishore,Prathik Iyengar
Pool Play,Division 1 Open,PP B,1,Single game,Cal Poly D1 vs Purdue D1,Cal Poly D1 Open C,Purdue D1 Open C,Cal Poly D1 Open C,21,5,,,,,Aiden edwards,Gabriel Rouse,Thomas Saia,Zach Miles
Pool Play,Division 1 Open,PP B,1,Single game,Cal Poly D1 vs Purdue D1,Cal Poly D1 Coed,Purdue D1 Coed,Cal Poly D1 Coed,21,3,,,,,Alex Veron,Theo Maiorca,Josh Eliott,Megan Cereno
Pool Play,Division 1 Women's,PP B,1,Single game,Cal Poly D1 vs Purdue D1,Cal Poly D1 Women's,Purdue D1 Women's,Cal Poly D1 Women's,23,21,,,,,Kaiya endo,Lauren Eckert,Anna Grube,Han Burgess
Pool Play,Division 1 Open,Pool C,1,Single game,VCU D1 vs Siena/RPI D1,VCU D1 Open A,Siena/RPI D1 Open A,VCU D1 Open A,21,16,,,,,Brock Lodato,Sean Santos,Joshua Aguilar,Noah Lerner-Morelle
Pool Play,Division 1 Open,Pool C,1,Single game,VCU D1 vs Siena/RPI D1,VCU D1 Open B,Siena/RPI D1 Open B,VCU D1 Open B,21,15,,,,,Owen Wallace,Ryland Holdren,Daniel Krupp,Michael Vilardo
Pool Play,Division 1 Open,Pool C,1,Single game,VCU D1 vs Siena/RPI D1,VCU D1 Open C,Siena/RPI D1 Open C,VCU D1 Open C,21,15,,,,,Sebastian Grant,Zachary Small,Andrew Higginbotham,Matthew Brady
Pool Play,Division 1 Open,Pool C,1,Single game,VCU D1 vs Siena/RPI D1,VCU D1 Coed,Siena/RPI D1 Coed,Siena/RPI D1 Coed,17,21,,,,,Jyneece Conway-Layman,Nathaniel Hughes,Cole Bombard,Megan Dwire
Pool Play,Division 1 Women's,Pool C,1,Single game,VCU D1 vs Siena/RPI D1,VCU D1 Women's,Siena/RPI D1 Women's,VCU D1 Women's,21,11,,,,,Bel Belvedere,Lauren Viado,Emily Stewart,Kelsey Higgins
Pool Play,Division 1 Open,Pool C,1,Single game,UNC Wilmington D1 vs VCU D1,UNC Wilmington D1 Open A,VCU D1 Open A,UNC Wilmington D1 Open A,21,14,,,,,Jake Dooley,Noah Kopetic,Brock Lodato,Sean Santos
Pool Play,Division 1 Open,Pool C,1,Single game,UNC Wilmington D1 vs VCU D1,UNC Wilmington D1 Open B,VCU D1 Open B,VCU D1 Open B,20,22,,,,,Polk Denmark,Sam Weber,Owen Wallace,Ryland Holdren
