Year,Date,For Model Use,Type,URL identifier,full URL,Scraped?,Fwango File Title,Open Division 1,Open Division 2,Open Division 3,Women Division 1,Women Division 2,tourney
2024,4/20/24,X,Challenger,azr-southwest-showcase,https://fwango.io/azr-southwest-showcase,Manual Download,"AZR Southwest Showcase STS Challenger - Match results - Bracket Stage,Pool Play - 4.5 Contender,Women's Advanced 4.0+,Premier 5.0",Premier 5.0,4.5 Contender,NA,Women's Advanced 4.0+,NA,STSAZRSOUTHWESTSHOWCASE
2024,4/28/24,X,USAR Sanctioned,usar2024midwest,https://fwango.io/usar2024midwest,Manual Download,"USAR Midwest Regionals hosted by Illinois Roundnet - Match results - Bracket Stage,Pool Play - 5.0+ Men's",5.0+ Men's,NA,NA,NA,NA,USAR2024MIDWEST
2024,5/4/24,X,Challenger,lagrandslam2024,https://fwango.io/lagrandslam2024,Manual Download,"The Los Angeles Grand Slam - Spikeball Challenger 2024 - Match results - Group Stage,Bracket Stage - Womens 4.0+,Premier 5.0+,Contender 4.5",Premier 5.0+,Contender 4.5,NA,Womens 4.0+,NA,STSLAGRADNSLAM2024
2024,5/11/24,X,Challenger,osgrandslam,https://fwango.io/osgrandslam,Manual Download,"Oceanside Grand Slam #2 - Spikeball Challenger - Match results - Group Stage,Bracket Stage - 4.0 Mixed,4.5 Contender,4.0 Advanced,5.0 Premier,2.0-3.0 Mixed,4.5 Women's",5.0 Premier,4.5 Contender,NA,4.5 Women's,NA,STSOSGRANDSLAM2024
2024,5/25/24,X,USAR Sanctioned,casrregionals2,https://fwango.io/casrregionals2,Manual Download,"California Roundnet Regionals #2 - NorCal - Match results - Bracket Stage,Group Stage - 4.5 Womens,4.0 Advanced,4.5 Contender,5.0 Expert",5.0 Expert,NA,NA,NA,NA,CASRNORCALREGIONAL2024
2024,5/25/24,X,Challenger,raleigh2024,https://fwango.io/raleigh2024,Manual Download,"Raleigh STS Challenger Tour Stop - Match results - Bracket Play,Pool Play - Advanced 3.0 - 4.0,Mixed Intermediate,Premier 5.0+,Womens Advanced 4.0+,Contender 4.0+,Mixed Advanced",Premier 5.0+,Contender 4.0+,NA,Womens Advanced 4.0+,NA,RALIEGH2024
2024,6/1/24,X,Challenger,idahochallenger,https://fwango.io/idahochallenger,Manual Download,"Boise Idaho Challenger, STS - Match results - Bracket Stage,Pool play - Advanced 3.0 - 4.0,Womens,Contender 4.5,Premier - 5.0",Premier - 5.0,Contender 4.5,NA,Womens,NA,IDAHOCHALLENGER2024
2024,6/8/24,X,Challenger,scorch24,https://fwango.io/scorch24,Manual Download,"The Scorch - STS Challenger - Match results - Bracket Play,Pool Play - Free Agent,Contender (Open 4.5),Mixed Intermediate (3.0),Mixed Advanced,Premier (5.0)",Premier (5.0),Contender (Open 4.5),NA,NA,NA,scorch24
2024,6/15/24,X,Major,richmond2024,https://fwango.io/richmond2024,Manual Download,Richmond Major 2024 - Spikeball Tour Series,Premier 5.0+,Open Pro 5.0+,Contender 4.5+,Women's Advanced 4.0+,NA,richmond2024
2024,6/23/24,X,Challenger,minneapolis-challenger-2024,https://fwango.io/minneapolis-challenger-2024,Manual Download,"[STS] Minneapolis Challenger 2024 - Match results - Group Stage,Bracket Stage - Sunday - Mixed,Intermediate (3.0),Premier (5.0+),Women's Division,Contender (4.5)",Premier (5.0+),Contender (4.5),NA,Women's Division,NA,minneapolis-challenger-2024
2024,6/29/24,X,USAR Sanctioned,foco2024,https://fwango.io/foco2024,Manual Download,"FOCO Major - Match results - Bracket Stage,Group Stage - Recreational (2.0-3.0),Advanced (4.0),Free Agent,Expert (4.5+)",Expert (4.5+),NA,NA,NA,NA,foco2024
2024,6/29/24,X,USAR Sanctioned,nationals2024,https://fwango.io/nationals2024,Manual Download,"U.S. Roundnet National Championship - Match results - Bracket Stage,Pool Play - 5.5 Open Bronze_Premier,4.5 Open Contender,4.5+ Women's,Team USA Camp,Follow the Action",5.5 Open Bronze/Premier,4.5 Open Contender,NA,4.5+ Women's,NA,nationals2024
2024,7/13/24,X,Major,chicago2024,https://fwango.io/chicago2024,Manual Download,"Chicago Major 2024 - Spikeball Tour Series - Match results - Group Stage,Bracket Stage - Premier 5.0+,Contender 4.5+,Women's Pro 5.0+,Open Pro 5.0+,Women's Adv 4.0+",Open Pro 5.0+,Premier 5.0+,Contender 4.5+,Women's Pro 5.0+,Premier 5.0+,chicago2024
2024,7/27/24,X,Challenger,mrastcharles24,https://fwango.io/mrastcharles24,Manual Download,MRA Chicago - Match results,Expert(4.5),NA,NA,NA,NA,mrastcharles24
2024,7/27/24,X,Challenger,sts24seattlewa,https://fwango.io/sts24seattlewa,Manual Download,STS Challenger _ Seattle Slam - Match results,Premier,Contender 4.5,NA,Women's Advanced,NA,sts24seattlewa
2024,7/20/24,X,USAR Sanctioned,2024af,https://fwango.io/2024af,Manual Download,"AF Steel Days Super Major - Match results - Bracket Stage,Pool Play - 2.0-3.0 Recreational,4.0 Advanced,4.5 Elite,5.0 Premier",5.0 Premier,4.5 Elite,NA,NA,NA,AFSteel2024
2024,4/27/24,X,USAR Sanctioned,2024springspike,https://fwango.io/2024springspike,Manual Download,"Spring Spike Super Major - Match results - Bracket Stage,Pool Play - 4.5 Elite,5.0 Premier,4.0 Advanced,3.0 Recreational",5.0 Premier,4.5 Elite,NA,NA,NA,2024springspike
2024,8/3/24,X,Major,saltlakecity2024,https://fwango.io/saltlakecity2024,Manual Download,"Salt Lake City Major 2024 - Spikeball Tour Series - Match results - Bracket Stage,Group Stage",Open Pro 5.0+,Premier 5.0+,Contender 4.5+,Women's Advanced 4.0+,NA,saltlakecity2024
2024,8/10/24,X,USAR Sanctioned,wheeling24,https://fwango.io/wheeling24,Manual Download,Illinois State Championship,Expert(4.5+),NA,NA,NA,NA,wheeling24
2024,8/10/24,X,Challenger,ers24bos,https://fwango.io/ers24bos,N,ERS Boston 2024,Premier 5.0+,Open Contender 4.5+,NA,Women's Advanced 4.5+,NA,ers24bos
2024,8/17/24,X,Challenger,thepeopleschampionship2,https://fwango.io/thepeopleschampionship2,N,"BANG the peoples championship - Match results - Bracket Play ,Group Stage  - Womens,Premier,Contender,Intermediate,Coed",Premier,Contender,NA,NA,NA,thepeopleschampionship2
